Bin_num,avg_dNdLogDP,sd,avg_bin_mid,sdL,sdH
1,152.6625678119818,96.04016532229971,27.950398036363637,56.62240248968209,248.70273313428152
2,162.72361207577273,79.87367561363803,29.940101754545456,82.8499364621347,242.59728768941076
3,215.35233937674093,90.93987036361096,32.07920432727273,124.41246901312996,306.2922097403519
4,265.20021469940457,90.86902515616042,34.38016486363637,174.33118954324414,356.069239855565
5,336.8149651952736,63.643042330178936,36.856678990909096,273.17192286509464,400.45800752545256
6,400.63741870800817,134.72390145614432,39.52383275454545,265.9135172518638,535.3613201641525
7,456.63763892485093,169.82877761013495,42.398277954545456,286.80886131471595,626.4664165349859
8,466.0539193821818,112.3754274468277,45.498438081818186,353.6784919353541,578.4293468290095
9,572.2802711251319,111.24589861288642,48.844742645454545,461.03437251224545,683.5261697380183
10,585.0843251535928,83.44994229084374,52.459902081818186,501.634382862749,668.5342674444365
11,597.8599312444436,105.43407997324691,56.369226272727275,492.4258512711967,703.2940112176905
12,611.5921692436818,104.64600992354688,60.600996245454546,506.94615932013494,716.2381791672287
13,475.6517583683182,103.49985243309511,65.18689699090909,372.1519059352231,579.1516108014133
14,489.80732557528546,122.42120370516345,70.16252530909091,367.386121870122,612.2285292804489
15,550.70452288871,187.45881704966482,75.56798282727273,363.2457058390452,738.1633399383749
16,603.8298334441591,116.42355648029671,81.44857227272728,487.4062769638624,720.2533899244559
17,617.6875371084145,114.48411843910964,87.85561172727273,503.2034186693049,732.1716555475241
18,661.4244087048,145.5709563662237,94.84739181818182,515.8534523385763,806.9953650710238
19,687.58844289675,136.41418914450418,102.49029351818182,551.1742537522459,824.0026320412542
20,631.4674288516692,137.10950804819453,110.86009731818181,494.35792080347466,768.5769368998638
21,676.5636055646619,156.98817537566737,120.04351011818181,519.5754301889945,833.5517809403293
22,685.5654411783363,82.76814478458509,130.13993912727273,602.7972963937513,768.3335859629213
23,641.3071502811845,114.04428064773892,141.26354492727273,527.2628696334456,755.3514309289234
24,621.8890859362746,138.47878185684095,153.54560315454546,483.4103040794336,760.3678677931155
25,602.1100469409672,62.98119230918931,167.13720286363636,539.1288546317779,665.0912392501565
26,629.9009258419691,136.54609777745185,182.2123008,493.3548280645172,766.4470236194209
27,491.6278165978837,123.09980480767292,198.97115105454546,368.52801179021077,614.7276214055566
28,407.3592097809145,98.33325889930954,217.66007413636365,309.02595088160496,505.69246868022407
29,277.8720600897982,123.01331767993649,238.514652,154.8587424098617,400.8853777697347
30,235.34887937414183,83.12659967086279,261.8518338,152.22227970327904,318.4754790450046
