Bin_num,avg_dNdLogDP,sd,avg_bin_mid,sdL,sdH
1,183.62895195454726,114.5239461042645,27.953326145454547,69.10500585028277,298.15289805881173
2,184.32709529021548,111.45699557854587,29.94376000909091,72.87009971166961,295.7840908687614
3,287.09236180045,100.11619711183899,32.083659000000004,186.97616468861105,387.208558912289
4,343.99601067919093,137.95925201341143,34.38548410909091,206.0367586657795,481.95526269260233
5,403.32133461070543,115.88505803993395,36.86293300909091,287.4362765707715,519.2063926506394
6,435.34400330236633,122.39014023516171,39.53109256363636,312.9538630672046,557.7341435375281
7,612.60396178644,137.30094985597637,42.40661555454545,475.30301193046364,749.9049116424163
8,811.176329289359,316.4485608102112,45.50792367272727,494.72776847914787,1127.6248900995702
9,738.5514232485282,162.13254901463273,48.85544438181818,576.4188742338954,900.683972263161
10,924.1830916117929,347.9701630543813,52.47188361818182,576.2129285574115,1272.1532546661742
11,885.6888047752818,76.53778508276602,56.38254496363636,809.1510196925158,962.2265898580479
12,903.284093348091,179.6023397476908,60.61569913636364,723.6817536004003,1082.8864330957817
13,754.7689919304546,131.06193677632132,65.20301893636363,623.7070551541333,885.8309287067759
14,654.3296249381818,131.37638641661337,70.18008316363637,522.9532385215684,785.7060113547952
15,719.7907867058,138.1902582485515,75.58697143636364,581.6005284572485,857.9810449543514
16,753.4872729894773,178.24438616189374,81.46895792727273,575.2428868275836,931.7316591513711
17,876.4894863322945,138.79447673849245,87.87732512727273,737.6950095938021,1015.283963070787
18,927.674044596,129.33788227394152,94.87031948181819,798.3361623220585,1057.0119268699416
19,997.8018916626954,162.70017530034315,102.51426812727273,835.1017163623522,1160.5020669630385
20,1010.3240635930473,148.89463916099294,110.8848874909091,861.4294244320544,1159.2187027540404
21,858.8358553092946,168.98682817888383,120.06880715454545,689.8490271304108,1027.8226834881784
22,844.9598666326699,157.59750775235412,130.16534432727272,687.3623588803158,1002.557374385024
23,885.4087916324254,195.41202863219317,141.28855617272728,689.9967630002322,1080.8208202646185
24,799.0133058662809,170.04443366689992,153.56960034545455,628.9688721993809,969.0577395331809
25,753.9148239672436,94.33776310016356,167.15943523636363,659.57706086708,848.2525870674071
26,788.5479709575709,151.06612384533494,182.23187661818181,637.481847112236,939.6140948029058
27,656.0988292830982,135.68506027420375,198.9870318,520.4137690088944,791.783889557302
28,577.0067804024454,123.0954365994793,217.67092257272728,453.91134380296614,700.1022170019247
29,440.8248022032346,106.96250631669824,238.51928151818183,333.86229588653634,547.7873085199328
30,320.79238922719185,87.87953470558735,261.8488008818182,232.91285452160452,408.6719239327792
