Bin_num,avg_dNdLogDP,sd,avg_bin_mid,sdL,sdH
1,196.55398616614,172.65958448185964,27.951459042857145,23.894401684280353,369.21357064799963
2,149.89133864211715,119.15119731388198,29.9408238,30.74014132823517,269.04253595599914
3,218.82731833535001,59.7934123790393,32.07955667142857,159.03390595631072,278.6207307143893
4,273.7017674846143,72.56711224537148,34.38011674285714,201.13465523924285,346.26887972998577
5,336.0428581384671,136.0073249834163,36.856201628571434,200.0355331550508,472.05018312188344
6,334.8948489950143,89.63119866057026,39.52289918571429,245.26365033444404,424.52604765558453
7,326.7058779557486,68.05918369355805,42.39686558571429,258.6466942621905,394.76506164930663
8,472.5294727467857,84.0528922767474,45.496528842857145,388.4765804700383,556.5823650235332
9,581.2381527984586,105.25651491809005,48.84232602857143,475.98163788036857,686.4946677165486
10,652.8039134444,140.2778597639142,52.45697635714286,512.5260536804858,793.0817732083142
11,546.4713406475,96.70884706730861,56.36580248571428,449.7624935801914,643.1801877148087
12,564.6999603960714,94.37044138869263,60.59710105714286,470.32951900737885,659.070401784764
13,506.35829388707145,153.20564066717452,65.18257637142858,353.15265321989693,659.563934554246
14,435.5411982645601,160.32121743703783,70.157850557142865,275.21998082752225,595.8624157015979
15,499.5975615961943,151.55354890273534,75.56305564285715,348.04401269345897,651.1511104989296
16,526.3272602472857,128.7060432785955,81.44353182857144,397.6212169686902,655.0333035258813
17,675.7354084910343,193.28663193635074,87.85064391428573,482.4487765546835,869.022040427385
18,658.5989608892572,103.56639652112959,94.84273761428572,555.0325643681276,762.1653574103868
19,584.442309516,138.0770839077629,102.48626108571429,446.3652256082371,722.519393423763
20,631.3076462728286,143.20252790143363,110.85707481428572,488.10511837139495,774.5101741742623
21,597.2894854730629,153.8116511192941,120.04197994285714,443.4778343537688,751.101136592357
22,569.1294026470657,88.00905135581282,130.14049371428572,481.1203512912529,657.1384540028786
23,561.4236483484899,87.13665920174016,141.26690442857142,474.28698914674976,648.56030755023
24,518.0920762492028,105.57490496172169,153.5526338142857,412.5171712874811,623.6669812109245
25,521.8453431824914,129.5954067751529,167.14893407142858,392.2499364073385,651.4407499576444
26,475.85430746543426,128.21304291440896,182.22994285714285,347.6412645510253,604.0673503798432
27,542.2353891885143,73.78906541202666,198.9961095857143,468.44632377648765,616.0244546005409
28,490.26676951518,98.90365189335562,217.69409635714285,391.36311762182436,589.1704214085356
29,331.54447185283715,117.63131431523998,238.5594309857143,213.91315753759716,449.17578616807714
30,287.50440088642574,148.49204261879126,261.9093906,139.01235826763448,435.99644350521703
