Bin_num,avg_dNdLogDP,sd,avg_bin_mid,sdL,sdH
1,164.86741626013398,107.29366139952285,27.94787541,57.57375486061113,272.1610776596568
2,184.8768691925,127.94160737605726,29.93741163,56.93526181644275,312.8184765685573
3,306.684155730195,136.20534798836218,32.07633165,170.47880774183284,442.8895037185572
4,336.94249585044,81.53573885907582,34.37709309,255.4067569913642,418.47823470951585
5,417.21756110861196,91.53576308499956,36.85338918,325.6817980236124,508.75332419361155
6,506.82788814102895,170.937524653532,39.52030284,335.890363487497,677.7654127945609
7,585.7706322151561,150.41701154140972,42.39448371,435.3536206737464,736.1876437565658
8,669.66042591255,190.81809247357464,45.49435092,478.8423334389753,860.4785183861246
9,788.891481311262,181.809474099342,48.84033051,607.0820072119201,970.700955410604
10,862.3104991385641,250.96965735787538,52.455127860000005,611.3408417806887,1113.2801564964395
11,859.469053941344,210.72913744705176,56.36404728,648.7399164942922,1070.1981913883958
12,827.1496692035,206.20337838967097,60.59536308,620.946290813829,1033.353047593171
13,759.50441898195,197.80148596195139,65.18075247,561.7029330199987,957.3059049439014
14,691.690614370826,147.37850802795737,70.15580271,544.3121063428687,839.0691223987833
15,622.508670636457,105.61967753889803,75.56060502,516.888993097559,728.1283481753551
16,675.556247107575,178.06703524451453,81.44044893,497.4892118630605,853.6232823520895
17,750.134470664736,210.63189356229682,87.84663768,539.5025771024392,960.7663642270328
18,814.91306915304,170.8261446262153,94.83744411,644.0869245268248,985.7392137792554
19,826.871929605765,94.95807501146304,102.47922828,731.9138545943019,921.830004617228
20,892.1518947675361,127.96025691969555,110.84774616,764.1916378478405,1020.1121516872316
21,871.110516599472,67.9104572879095,120.02967594,803.2000593115625,939.0209738873815
22,837.7264080576609,159.85976248732507,130.12439094,677.8666455703359,997.586170544986
23,825.590842297515,144.341792196487,141.24601278,681.2490501010279,969.9326344940021
24,726.767690395902,110.2747165558827,153.52577235,616.4929738400193,837.0424069517848
25,692.577873230768,156.15890485244063,167.11470594000002,536.4189683783273,848.7367780832086
26,715.1434627873599,149.17598390469053,182.18671164,565.9674788826694,864.3194466920504
27,559.9506612198801,61.76025237130295,198.94197627,498.19040884857714,621.710913591183
28,485.17855377624596,104.34965222049135,217.62672687,380.8289015557546,589.5282059967374
29,330.149195371408,82.54857181517737,238.47649623,247.60062355623063,412.69776718658534
30,252.97400961883702,108.67477318499247,261.80812476,144.29923643384456,361.6487828038295
